-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 12:03:54] | DIM| |0| |35| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:03:59] | DIM| |0| |35| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:04:04] | DIM| |0| |35| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:04:08] | DIM| |0| |35| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:04:11] | DIM| |0| |35| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:04:24] | DIM| |0| |36| |     0| csr_instr_asm                |      | |    6584| |  0x611c|
[2022-08-30 12:04:29] | DIM| |0| |36| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:04:35] | DIM| |0| |36| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:04:40] | DIM| |0| |36| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:04:44] | DIM| |0| |36| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:04:49] | DIM| |0| |36| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:05:00] | DIM| |0| |37| |     0| csr_instr_asm                |      | |    6571| |  0x611c|
[2022-08-30 12:05:05] | DIM| |0| |37| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:05:10] | DIM| |0| |37| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:05:15] | DIM| |0| |37| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:05:19] | DIM| |0| |37| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:05:23] | DIM| |0| |37| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:05:34] | DIM| |0| |38| |     0| csr_instr_asm                |      | |    6560| |  0x611c|
[2022-08-30 12:05:37] | DIM| |0| |38| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:05:42] | DIM| |0| |38| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:05:47] | DIM| |0| |38| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:05:51] | DIM| |0| |38| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:05:54] | DIM| |0| |38| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:06:05] | DIM| |0| |39| |     0| csr_instr_asm                |      | |    6548| |  0x611c|
[2022-08-30 12:06:09] | DIM| |0| |39| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:06:14] | DIM| |0| |39| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:06:18] | DIM| |0| |39| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:06:22] | DIM| |0| |39| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:06:26] | DIM| |0| |39| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:06:37] | DIM| |0| |40| |     0| csr_instr_asm                |      | |    6538| |  0x611c|
[2022-08-30 12:06:41] | DIM| |0| |40| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:06:46] | DIM| |0| |40| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:06:50] | DIM| |0| |40| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:06:54] | DIM| |0| |40| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:06:57] | DIM| |0| |40| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:07:08] | DIM| |0| |41| |     0| csr_instr_asm                |      | |    6528| |  0x611c|
[2022-08-30 12:07:12] | DIM| |0| |41| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:07:17] | DIM| |0| |41| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:07:21] | DIM| |0| |41| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:07:25] | DIM| |0| |41| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:07:29] | DIM| |0| |41| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:07:40] | DIM| |0| |42| |     0| csr_instr_asm                |      | |    6518| |  0x611c|
[2022-08-30 12:07:44] | DIM| |0| |42| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:07:49] | DIM| |0| |42| |     0| dhrystone                    |      | |  305752| |   0xb04|
-------------------------------------------------------------------------------------------------------------
                        RTL   A  WWDL   Delay  Bench_name         Extracted   Alarm  Last_cycle  Last_addr
-------------------------------------------------------------------------------------------------------------
[2022-08-30 12:07:53] | DIM| |0| |42| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:07:58] | DIM| |0| |42| |     0| hello-world                  |      | |   21080| |   0x420|
[2022-08-30 12:08:02] | DIM| |0| |42| |     0| load_store_rs1_zero          |      | |      63| |   0x160|
[2022-08-30 12:08:12] | DIM| |0| |43| |     0| csr_instr_asm                |      | |    6510| |  0x611c|
[2022-08-30 12:08:16] | DIM| |0| |43| |     0| csr_instructions             |      | |   13410| |   0x388|
[2022-08-30 12:08:21] | DIM| |0| |43| |     0| dhrystone                    |      | |  305752| |   0xb04|
[2022-08-30 12:08:26] | DIM| |0| |43| |     0| fibonacci                    |      | |   93824| |   0x3e4|
[2022-08-30 12:08:30] | DIM| |0| |43| |     0| hello-world                  |      | |   21080| |   0x420|
